iter	Passed	Remaining
0	57	57636
1	58	29091
2	59	19676
3	59	14939
4	60	12073
5	61	10166
6	62	8819
7	62	7769
8	63	6972
9	64	6341
10	64	5801
11	64	5351
12	65	4969
13	65	4647
14	66	4377
15	67	4137
16	67	3919
17	68	3721
18	68	3552
19	69	3399
20	70	3271
21	70	3144
22	71	3027
23	71	2926
24	72	2835
25	73	2753
26	74	2666
27	74	2589
28	75	2532
29	76	2471
30	77	2413
31	77	2353
32	78	2294
33	78	2239
34	79	2187
35	79	2138
36	80	2089
37	80	2045
38	81	2002
39	81	1962
40	82	1926
41	82	1889
42	83	1853
43	83	1823
44	84	1793
45	85	1763
46	85	1734
47	86	1707
48	86	1680
49	87	1655
50	87	1630
51	88	1606
52	88	1582
53	89	1560
54	89	1540
55	90	1520
56	90	1499
57	91	1480
58	91	1461
59	92	1444
60	92	1426
61	93	1410
62	94	1401
63	94	1388
64	95	1379
65	96	1368
66	97	1356
67	98	1348
68	99	1339
69	100	1332
70	101	1325
71	102	1317
72	103	1309
73	103	1299
74	104	1291
75	105	1283
76	106	1274
77	107	1266
78	108	1259
79	108	1251
80	109	1242
81	110	1234
82	110	1221
83	111	1212
84	111	1205
85	112	1198
86	113	1191
87	114	1184
88	115	1177
89	115	1171
90	116	1165
91	117	1158
92	118	1152
93	118	1146
94	119	1141
95	120	1135
96	121	1127
97	121	1119
98	122	1112
99	122	1105
100	123	1098
101	124	1092
102	124	1085
103	125	1078
104	125	1070
105	126	1064
106	126	1058
107	127	1051
108	127	1045
109	128	1038
110	128	1032
111	129	1027
112	130	1020
113	130	1015
114	131	1009
115	131	1003
116	132	996
117	132	990
118	133	985
119	134	982
120	134	977
121	135	972
122	135	966
123	136	961
124	136	956
125	137	952
126	137	946
127	138	942
128	140	950
129	141	946
130	141	941
131	142	937
132	143	932
133	143	928
134	144	923
135	144	918
136	144	913
137	145	908
138	146	904
139	146	900
140	146	895
141	147	889
142	147	886
143	148	881
144	148	878
145	149	874
146	149	870
147	150	866
148	151	862
149	151	858
150	152	854
151	152	850
152	152	846
153	153	842
154	153	838
155	154	834
156	154	830
157	155	826
158	155	823
159	156	819
160	156	815
161	157	812
162	157	809
163	158	806
164	158	802
165	159	799
166	159	795
167	159	791
168	160	788
169	160	784
170	161	781
171	161	778
172	162	775
173	162	773
174	163	770
175	164	767
176	164	764
177	165	761
178	165	758
179	165	755
180	166	753
181	166	750
182	167	747
183	167	744
184	168	741
185	168	738
186	169	735
187	169	732
188	170	729
189	170	727
190	171	724
191	171	722
192	172	719
193	172	716
194	172	714
195	173	711
196	173	708
197	174	706
198	174	703
199	175	701
200	175	698
201	176	696
202	176	693
203	177	692
204	177	689
205	178	687
206	178	684
207	179	682
208	179	680
209	180	677
210	180	675
211	181	673
212	181	670
213	182	668
214	182	665
215	182	663
216	183	661
217	183	659
218	184	657
219	184	655
220	185	653
221	185	651
222	186	649
223	186	647
224	187	645
225	187	643
226	188	641
227	188	639
228	189	637
229	189	635
230	190	632
231	190	630
232	190	628
233	191	625
234	191	624
235	192	622
236	192	619
237	192	617
238	193	615
239	193	613
240	193	610
241	194	608
242	194	606
243	195	604
244	195	602
245	195	600
246	196	598
247	196	595
248	196	593
249	197	591
250	197	589
251	198	588
252	198	586
253	199	585
254	199	583
255	200	581
256	200	580
257	201	578
258	201	576
259	201	574
260	202	572
261	202	571
262	203	569
263	203	568
264	204	566
265	204	565
266	205	564
267	206	562
268	206	562
269	207	560
270	207	559
271	208	558
272	209	556
273	209	555
274	209	553
275	210	552
276	211	550
277	211	549
278	212	550
279	213	549
280	214	548
281	214	547
282	215	546
283	216	544
284	216	543
285	217	542
286	217	540
287	219	541
288	219	540
289	220	539
290	221	538
291	222	539
292	223	538
293	223	537
294	224	536
295	225	535
296	226	535
297	227	536
298	228	534
299	228	533
300	229	531
301	229	530
302	230	529
303	230	527
304	231	526
305	231	525
306	232	523
307	232	523
308	233	522
309	234	522
310	235	521
311	235	520
312	236	518
313	236	517
314	237	516
315	237	514
316	238	513
317	238	512
318	239	511
319	240	510
320	240	509
321	241	507
322	241	506
323	242	505
324	242	503
325	242	502
326	243	500
327	243	499
328	244	497
329	244	496
330	244	494
331	245	493
332	245	491
333	246	490
334	246	489
335	247	488
336	247	486
337	248	485
338	248	484
339	249	483
340	249	482
341	249	480
342	250	479
343	250	477
344	251	476
345	251	475
346	251	473
347	252	472
348	252	471
349	253	469
350	253	468
351	253	467
352	254	465
353	254	464
354	254	462
355	255	461
356	255	460
357	256	459
358	256	458
359	256	456
360	257	455
361	257	454
362	258	452
363	258	451
364	258	450
365	259	448
366	259	447
367	259	446
368	260	444
369	260	443
370	260	442
371	261	441
372	261	439
373	261	438
374	262	437
375	262	436
376	263	435
377	263	433
378	264	432
379	264	431
380	264	430
381	265	428
382	265	427
383	265	426
384	266	425
385	266	424
386	266	422
387	267	421
388	267	420
389	268	419
390	268	418
391	268	416
392	269	415
393	269	414
394	269	413
395	270	412
396	270	411
397	271	409
398	271	408
399	271	407
400	272	406
401	272	405
402	272	404
403	273	403
404	273	401
405	273	400
406	274	399
407	274	398
408	274	397
409	275	396
410	275	394
411	275	393
412	276	392
413	276	391
414	277	390
415	277	390
416	278	389
417	278	387
418	279	387
419	279	386
420	279	385
421	280	384
422	280	383
423	281	382
424	281	381
425	282	380
426	282	379
427	282	378
428	283	377
429	283	376
430	284	375
431	284	374
432	285	373
433	285	372
434	286	371
435	286	370
436	286	369
437	287	368
438	287	367
439	288	366
440	288	366
441	289	365
442	289	364
443	290	363
444	290	362
445	291	361
446	291	361
447	292	360
448	293	360
449	294	359
450	294	358
451	295	357
452	295	356
453	295	355
454	296	354
455	296	353
456	297	352
457	297	351
458	297	350
459	298	349
460	298	349
461	299	348
462	299	347
463	299	346
464	300	345
465	300	344
466	301	343
467	301	342
468	301	341
469	302	340
470	302	339
471	302	338
472	303	337
473	303	336
474	303	335
475	304	334
476	304	333
477	304	332
478	305	331
479	305	331
480	306	330
481	306	329
482	306	328
483	307	327
484	307	326
485	308	325
486	308	324
487	308	324
488	309	323
489	309	322
490	309	321
491	310	320
492	310	319
493	310	318
494	311	317
495	311	316
496	311	315
497	312	314
498	312	313
499	313	313
500	313	312
501	313	311
502	314	310
503	314	309
504	315	308
505	315	307
506	315	306
507	316	306
508	316	305
509	316	304
510	317	303
511	317	302
512	317	301
513	318	300
514	318	300
515	319	299
516	319	298
517	319	297
518	320	296
519	320	295
520	320	295
521	321	294
522	321	293
523	322	292
524	322	291
525	322	290
526	323	289
527	323	289
528	323	288
529	324	287
530	324	286
531	324	285
532	325	284
533	325	284
534	325	283
535	326	282
536	326	281
537	326	280
538	327	279
539	327	279
540	327	278
541	328	277
542	328	276
543	329	275
544	329	275
545	329	274
546	330	273
547	330	272
548	330	271
549	331	271
550	331	270
551	332	269
552	332	268
553	332	267
554	333	267
555	333	266
556	333	265
557	334	264
558	334	264
559	335	263
560	335	262
561	335	261
562	336	261
563	336	260
564	337	259
565	337	258
566	337	257
567	338	257
568	338	256
569	338	255
570	339	254
571	339	254
572	339	253
573	340	252
574	340	251
575	341	251
576	341	250
577	341	249
578	342	248
579	342	248
580	342	247
581	343	246
582	343	245
583	344	245
584	344	244
585	344	243
586	345	242
587	345	242
588	345	241
589	346	240
590	346	239
591	346	239
592	347	238
593	347	237
594	348	236
595	348	236
596	348	235
597	349	234
598	349	234
599	350	233
600	350	232
601	350	231
602	351	231
603	351	230
604	351	229
605	352	229
606	352	228
607	352	227
608	353	226
609	353	226
610	353	225
611	354	224
612	354	223
613	355	223
614	355	222
615	355	221
616	356	221
617	356	220
618	356	219
619	357	219
620	357	218
621	358	217
622	358	216
623	358	216
624	359	215
625	359	214
626	359	214
627	360	213
628	360	212
629	361	212
630	361	211
631	362	210
632	362	210
633	362	209
634	363	208
635	363	208
636	364	207
637	364	206
638	365	206
639	365	205
640	365	204
641	366	204
642	367	203
643	367	203
644	367	202
645	368	201
646	368	201
647	369	200
648	370	200
649	370	199
650	371	198
651	371	198
652	372	197
653	372	197
654	373	196
655	373	196
656	374	195
657	374	194
658	375	194
659	376	193
660	376	193
661	377	192
662	377	191
663	378	191
664	378	190
665	379	190
666	379	189
667	380	189
668	381	188
669	381	187
670	382	187
671	382	186
672	383	186
673	383	185
674	384	184
675	384	184
676	385	183
677	385	183
678	386	182
679	387	182
680	387	181
681	388	180
682	388	180
683	389	179
684	389	179
685	389	178
686	390	177
687	390	177
688	390	176
689	391	175
690	391	175
691	391	174
692	392	173
693	392	173
694	393	172
695	393	171
696	393	171
697	394	170
698	394	169
699	395	169
700	395	168
701	395	168
702	396	167
703	396	166
704	396	166
705	397	165
706	397	164
707	398	164
708	398	163
709	399	163
710	399	162
711	400	162
712	401	161
713	401	160
714	401	160
715	402	159
716	402	158
717	403	158
718	403	157
719	403	157
720	404	156
721	404	155
722	404	155
723	405	154
724	405	153
725	405	153
726	406	152
727	406	151
728	406	151
729	407	150
730	407	150
731	408	149
732	408	148
733	408	148
734	409	147
735	409	146
736	409	146
737	410	145
738	410	145
739	411	144
740	411	143
741	411	143
742	412	142
743	412	141
744	413	141
745	413	140
746	414	140
747	414	139
748	415	139
749	415	138
750	416	138
751	417	137
752	417	136
753	418	136
754	418	135
755	419	135
756	420	134
757	420	134
758	421	133
759	421	133
760	422	132
761	422	132
762	423	131
763	424	131
764	424	130
765	425	129
766	425	129
767	426	128
768	426	128
769	427	127
770	427	127
771	428	126
772	429	126
773	430	125
774	430	125
775	431	124
776	432	124
777	433	123
778	434	123
779	434	122
780	435	122
781	435	121
782	436	120
783	437	120
784	437	119
785	437	119
786	438	118
787	439	118
788	439	117
789	440	116
790	440	116
791	440	115
792	441	115
793	441	114
794	442	114
795	442	113
796	442	112
797	443	112
798	443	111
799	444	111
800	444	110
801	445	109
802	445	109
803	446	108
804	446	108
805	447	107
806	447	107
807	447	106
808	448	105
809	448	105
810	449	104
811	449	104
812	449	103
813	450	102
814	450	102
815	451	101
816	451	101
817	451	100
818	452	99
819	452	99
820	453	98
