iter	RMSE
0	14.39803224
1	14.04504838
2	13.6927348
3	13.39873463
4	13.09269723
5	12.79084338
6	12.51724363
7	12.30275093
8	12.03859157
9	11.78566789
10	11.52059194
11	11.26373256
12	11.02274557
13	10.78162039
14	10.55857379
15	10.36534314
16	10.14705138
17	9.934977513
18	9.759894124
19	9.578100094
20	9.392096276
21	9.231116718
22	9.083196201
23	8.916519263
24	8.772506355
25	8.646188277
26	8.51244904
27	8.37918361
28	8.238854342
29	8.11150657
30	8.002809401
31	7.89903412
32	7.79217431
33	7.687744641
34	7.595581886
35	7.490602365
36	7.401049111
37	7.303996876
38	7.216309563
39	7.124168364
40	7.0406051
41	6.96609268
42	6.887345618
43	6.81461919
44	6.746250901
45	6.692049263
46	6.628058542
47	6.565255512
48	6.502804922
49	6.453357799
50	6.401289308
51	6.349516532
52	6.301921771
53	6.256290542
54	6.207323624
55	6.165330275
56	6.127978784
57	6.08969084
58	6.056095498
59	6.018735014
60	5.982137906
61	5.956798785
62	5.926080442
63	5.900098486
64	5.867756691
65	5.839824558
66	5.814349221
67	5.791129752
68	5.776735988
69	5.746511405
70	5.729077915
71	5.703414795
72	5.679491675
73	5.658827974
74	5.638842957
75	5.616445239
76	5.598655036
77	5.581712662
78	5.566561221
79	5.548151871
80	5.530704973
81	5.51670818
82	5.497542508
83	5.483305609
84	5.463270132
85	5.448806331
86	5.436186846
87	5.423160348
88	5.412442152
89	5.404165723
90	5.391720713
91	5.377639458
92	5.364811824
93	5.353642385
94	5.342888877
95	5.327807903
96	5.314173199
97	5.304526701
98	5.29548754
99	5.286717425
100	5.275546879
101	5.265525574
102	5.254330506
103	5.245146964
104	5.240581332
105	5.234826016
106	5.224049553
107	5.217062461
108	5.205475234
109	5.197360968
110	5.191341437
111	5.185582038
112	5.176193865
113	5.169829678
114	5.161551299
115	5.152455289
116	5.144684481
117	5.139034545
118	5.132654758
119	5.126920276
120	5.119864647
121	5.114586201
122	5.110486306
123	5.09740251
124	5.091321941
125	5.08342773
126	5.074262759
127	5.068523117
128	5.06349883
129	5.058500258
130	5.05025389
131	5.045119083
132	5.040252091
133	5.037438583
134	5.032212921
135	5.024544405
136	5.017652646
137	5.015433021
138	5.009255567
139	5.003040931
140	4.998455644
141	4.99383895
142	4.990041779
143	4.983300512
144	4.975077116
145	4.966543488
146	4.95994803
147	4.955286568
148	4.945831509
149	4.943245629
150	4.937313678
151	4.932342993
152	4.926264431
153	4.922233528
154	4.917075263
155	4.912812616
156	4.905543982
157	4.900761963
158	4.895022706
159	4.890696123
160	4.884968389
161	4.881640328
162	4.876490117
163	4.87454156
164	4.870361548
165	4.867937173
166	4.863410296
167	4.858885269
168	4.854512019
169	4.847963411
170	4.842310783
171	4.838657936
172	4.833541347
173	4.828922898
174	4.82607874
175	4.821602496
176	4.819323221
177	4.814480559
178	4.809956563
179	4.805194964
180	4.800125399
181	4.791964284
182	4.787387298
183	4.782109118
184	4.778657566
185	4.776331057
186	4.774470292
187	4.769013858
188	4.766881277
189	4.764896778
190	4.762643962
191	4.757256399
192	4.75415922
193	4.749052685
194	4.744582895
195	4.741845236
196	4.735830616
197	4.733556201
198	4.727791387
199	4.722831761
200	4.719698524
201	4.714874471
202	4.710753405
203	4.706122706
204	4.701216132
205	4.693879784
206	4.688585132
207	4.682295668
208	4.678442269
209	4.674196914
210	4.67086707
211	4.664686094
212	4.663047431
213	4.657283
214	4.651558701
215	4.647998288
216	4.643412837
217	4.638419186
218	4.633272664
219	4.629999475
220	4.625533339
221	4.624978328
222	4.61874332
223	4.613469607
224	4.610712304
225	4.607646673
226	4.603654604
227	4.599758877
228	4.593198967
229	4.588918585
230	4.584919807
231	4.579672419
232	4.57557062
233	4.570713458
234	4.565623783
235	4.560597538
236	4.557013
237	4.553039207
238	4.547091844
239	4.543517246
240	4.539602143
241	4.537229065
242	4.532485009
243	4.528202257
244	4.524369956
245	4.51964356
246	4.514362629
247	4.512029785
248	4.508025281
249	4.503566541
250	4.497307869
251	4.49411431
252	4.488517593
253	4.484209522
254	4.480621958
255	4.478046698
256	4.472619616
257	4.468768076
258	4.46556785
259	4.461970849
260	4.45598776
261	4.451883926
262	4.447622511
263	4.445871811
264	4.445391721
265	4.437596179
266	4.431608848
267	4.428297206
268	4.42486686
269	4.4226913
270	4.415360845
271	4.413245536
272	4.408888362
273	4.400833922
274	4.400379367
275	4.399934823
276	4.397596626
277	4.393775241
278	4.389710019
279	4.385996183
280	4.381121406
281	4.378664337
282	4.378222916
283	4.374344289
284	4.372606889
285	4.370011489
286	4.364583595
287	4.360663103
