iter	Passed	Remaining
0	0	72
1	1	63
2	1	59
3	2	52
4	2	51
5	3	50
6	3	46
7	3	43
8	4	42
9	4	42
10	5	41
11	5	40
12	6	40
13	6	39
14	6	38
15	7	38
16	7	37
17	8	37
18	8	36
19	9	36
20	9	35
21	9	35
22	10	34
23	10	34
24	11	33
25	11	33
26	12	32
27	12	32
28	12	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	15	28
36	16	28
37	17	27
38	17	27
39	18	27
40	18	26
41	19	26
42	19	25
43	20	25
44	20	25
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	20
54	24	20
55	25	19
56	25	19
57	26	19
58	26	18
59	27	18
60	27	17
61	27	17
62	28	16
63	28	16
64	29	15
65	29	15
66	30	15
67	31	14
68	31	14
69	32	13
70	32	13
71	33	12
72	33	12
73	33	11
74	34	11
75	34	10
76	35	10
77	35	10
78	35	9
79	36	9
80	36	8
81	37	8
82	37	7
83	37	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	43	0
98	44	0
99	44	0
